ime|sestavine|kolicina|kcal|Maščobe|od tega nasičene maščobe|Ogljikovi hidrati|od tega sladkorji|Prehranske vlaknine|Beljakovine|Sol
Pripravljena zmes za ovseni mešani kruh s semeni.|PŠENIČNA POLBELA MOKA, OVSENA EKSTRUDIRANA MOKA 18,00 %, semena (sončnice, lan) 7,00 %, suhi kvas (emulgator: E491), jedilna sol, emulgator: E472e, sredstvo za obdelavo moke: askorbinska kislina, encimi.|500g|352,00|5,20 g|0,70 g|60,00 g|1,10 g|0,0 g|14,30 g|1,70 g
Pripravljena zmes za pšenični mešani kruh.|PŠENIČNA POLBELA MOKA, PŠENIČNA PIRINA POLNOZRNATA MOKA, PŠENIČNI ZDROB, RŽENA MOKA, OVSENA MOKA, ajdova moka, PŠENIČNO KISLO TESTO, jedilna sol, suhi kvas (vsebuje emulgator: E491), gostilo: guar gumi, sredstvo za obdelavo moke: askorbinska kislina.|500g|336,00|2,00 g|0,40 g|64,00 g|1,40 g|0,0 g|13,10 g|1,50 g
Koncentrat kreatina monohidrata v prahu. Prehransko dopolnilo.|kreatin monohidrat 100,00 %.|400g|0,00|0,00 g|0,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
Vanilin sladkor|sladkor, aroma (vanilin).|60g|395,00|0,00 g|0,00 g|99,00 g|99,00 g|0,0 g|0,00 g|0,00 g
Pecilni prašek; 12 g za 500 g moke|sredstvo zavzhajanje (dinatrijev difosfat, natrijev hidrogen karbonat), koruzni škrob.|72g|92,00|0,00 g|0,00 g|23,00 g|0,00 g|0,0 g|0,00 g|43,20 g
Osvežilna gazirana brezalkoholna pijača z okusom kole.|voda, sladkor, ogljikov dioksid, barvilo: E150d, kislina: fosforjeva (v) kislina, aroma: kofein in naravna aroma, stabilizator: gumi arabikum.|1,98l|43,00|0,00 g|0,00 g|10,70 g|10,60 g|0,0 g|0,00 g|0,01 g
BARCAFFE PERFETTO DG LUNGO 70g (7gx10)|mešanica mlete pražene kave.|70g|0,00|0,00 g|0,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
Pasterizirane mesnine: poltrajna klobasa|svinjsko meso 62%, goveje meso 11%, voda, svinjska slanina 10%, sol, krompirjev škrob, grahove vlaknine, grahove beljakovine, dekstroza, stabilizatorji: difosfati, trifosfati, guar gumi; antioksidant: natrijev eritrobat, začimbe, ekstrakt začimb, gostila: celulozni gumi, ksantan gumi, karagenan, barvilo: betanin, sredstva za uravnavanje kislosti: mlečna kislina, citronska kislina, vinska kislina, glukozni sirup, rdeče vino, konzervans: natrijev nitrit.|300g|318,00|27,00 g|10,00 g|4,80 g|1,50 g|0,0 g|13,00 g|3,10 g
Pasterizirane mesnine: poltrajna klobasa|svinjsko meso 50%, svinjska slanina 25%, goveje meso 12%, voda, sol, dekstroza, stabilizatorja: difosfati, trifosfati, antioksidant: natrijev eritorbat, začimbe, ekstrakt začimb, gostila: celulozni gumi, ksantan gumi, karagenan, guar gumi, barvilo: betanin, konzervans: natrijev nitrit.|300g|300,00|26,00 g|11,00 g|2,00 g|1,30 g|0,0 g|14,00 g|3,00 g
Pasterizirane mesnine: poltrajna klobasa|svinjsko meso 63%, goveje meso 12%, voda, svinjska slanina 9%, sol, krompirjev škrob, grahove vlaknine, grahove beljakovine, dekstroza, stabilizatorji: difosfati, trifosfati, guar gumi, antioksidant, natrijev eritrobat, začimbe, ekstrakt začimb, gostila: celulozni gumi, ksantan gumi, karagenan, barvilo: betanin, sredstva za uravnavanje kislosti: mlečna kislina, citronska kislina, vinska kislina, glukozni sirup, rdeče vino, konzervans: natrijev nitrit.|300g|285,00|23,00 g|9,00 g|4,80 g|1,00 g|0,0 g|15,00 g|2,50 g
Pasterizirane mesnine: poltrajna klobasa.|svinjsko meso 54%, svinjska slanina 23%, goveje meso 12%, voda, sol, dekstroza, stabilizatorja: difosfati, trifosfati, antioksidant: natrijev eritorbat, začimbe, ekstrakt začimb, gostila: celulozni gumi, karagenan, guar gumi; barvilo: betanin.|300g|248,00|21,00 g|8,70 g|1,40 g|0,50 g|0,0 g|13,00 g|2,30 g
GEA BIO Štajersko prekmursko bučno olje Slovenija jedilno nerafinirano.|100 % jedilno nerafinirano bučno olje, iz ekološke pridelave.|0,5l|828,00|92,00 g|17,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
CEKIN BIO sončnično olje jedilno rafinirano.|sončnično olje 100,00 %.|1l|900,00|100,00 g|10,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
CEKIN BIO repično olje jedilno rafinirano|repično olje 100,00 %.|1l|900,00|100,00 g|7,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
JAJCA DEBELA XL 10/1 hlevska reja|JAJCA NIMA SESTAVIN.|10kos|571,00|9,40 g|2,35 g|1,10 g|1,10 g|0,0 g|12,00 g|0,34 g
Fini pekovski izdelek. Kakavovi keksi s polnilom z okusom vanilije (29%).|PŠENIČNA MOKA, sladkor, palmino olje, repično olje, manj masten kakavov prah 4,30 %, PŠENIČNI ŠKROB, glukozni-fruktozni sirup, E503, E501, E500, jedilna sol, SOJINI LECITINI, natrijev hidroksid, aroma.|264g|476,00|20,00 g|5,40 g|68,00 g|38,00 g|2,70 g|5,30 g|0,73 g
Švicarska bela čokolada z mandljevim nougatom z medom (10%).|sladkor, POLNO MLEKO V PRAHU, kakavovo maslo, med 3,00 %, MANDLJI 1,60 %, SOJINI LECITINI, JAJČNI BELJAK V PRAHU, aroma.|100g|535,00|29,50 g|18,00 g|62,00 g|62,00 g|0,20 g|6,10 g|0,23 g
KOSMIČI ZEMELJSKIH MANDLJEV|zemeljski mandlji drobljeni 100,00 %.|300g|467,00|21,00 g|5,40 g|51,00 g|16,90 g|11,00 g|4,70 g|0,06 g
AROMATIZIRANI ČRNI ČAJ V FILTER VREČKAH EARL GREY.|mešanica črnih čajev, aroma bergamotke.|34g|0,00|0,00 g|0,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
Steriliziran in homogeniziran mlečni napitek z okusom kokosa in sladili. Visoka vsebnost beljakovin.|POSNETO MLEKO Z 0,1% MLEČNE MAŠČOBE BEZ LAKTOZE (<0,1 G/100 ML) 90,00 %, MLEČNE BELJAKOVINE, stabilizatorja (celuloza,karboksimetilceluloza), naravna aroma, stabilizator natrijevi-fosfati, KOKOSOVO MLEKO V PRAHU (KOKOSOVO MLEKO, MALTODEKSTRIN, MLEČNI PROTEIN), sladila (acesulfam k, sukraloza), aroma.|500g|63,00|0,25 g|0,20 g|5,10 g|4,80 g|0,0 g|10,00 g|0,21 g
Steriliziran in homogeniziran mlečni napitek z okusom čokolade in s sladili. Visoka vsebnost beljakovin.|POSNETO MLEKO Z 0,1% MLEČNE MAŠČOBE BEZ LAKTOZE (<0,1G/100ML) 89,60 %, MLEČNE BELJAKOVINE, kakav v prahu, stabilizatorja (celuloza, karboksimetilceluloza), stabilizator natrijevi-fosfati, naravna aroma, sladila (acesulfam k, sukraloza), aroma.|500g|62,00|0,40 g|0,30 g|4,70 g|4,60 g|0,0 g|10,00 g|0,21 g
Steriliziran in homogeniziran mlečni napitek z okusom čokolade in arašidovega masla, s sladili. Visoka vsebnost beljakovin.|89,3% POSNETO MLEKO Z 0,1% MLEČNE MAŠČOBE BREZ LAKTOZE (<0,1G/100ML), MLEČNE BELJAKOVINE, kakav v prahu, stabilizatorji (celuloza, karboksimetilceluloza), naravna aroma, stabilizator natrijevi fosfati, aroma, sladila (acesulfam k, sukraloza), sol.|500g|63,00|0,40 g|0,30 g|4,90 g|4,60 g|0,0 g|10,00 g|0,22 g
Olupljeni sterilizirani paradižniki - ekološki izdelek|olupljeni paradižniki*, paradižnikov sok*, *ekološka pridelava.|400g|19,00|0,10 g|0,00 g|3,00 g|3,00 g|0,80 g|1,10 g|0,00 g
PRSI PIŠČ.SLIM&FIT 250G|meso piščančjih prsi 77,00 %, voda, škrob, sol, dekstroza, prehranske vlaknine, stabilizatorja: difosfati in jkaragenan, tačimbe, antioksidant:natrijev askorbat, arome, ekstrakti začimb, konzervans:natrijev nitrit.|250g|418,00|2,00 g|0,80 g|2,00 g|2,00 g|0,0 g|18,00 g|1,80 g
Sadni sok z okusom belega čaja, marakuje in breskve|poparek belega čaja in listov sladke robidnice (voda, beli čaj, listi sladke robidnice (rubus suavissimus s. lee)), 25% sadni sok delno iz zgoščenega soka (grozdni sok iz zgoščenega soka, 5% sok pasijonke, 2% breskov sok, limonin sok iz zgoščenega soka), izvleček čaja: min. 1,2 g/l.|0,5l|15,00|0,50 g|0,10 g|3,20 g|3,20 g|0,0 g|0,50 g|0,01 g
Divita Polentni njoki 500 g|voda, instant koruzni zdrob 20%, krompirjevi kosmiči 6% (krompir, arome, ANTIOKSIDANT NATRIJEV METABISULFIT), krompirjev škrob 6%, sončnično olje, jedilna sol, konzervans kalijev sorbat, začimba.|500g|162,00|2,10 g|0,30 g|31,00 g|0,40 g|2,70 g|2,90 g|0,78 g
Lizika - trd nepolnjen sladkorni izdelek s sadnim okusom|sladkor, glukozni sirup, glukozno-fruktozni sirup, citronska kislina, barvila za živila (karmini, titanov dioksid, kurkumin, karoteni, bakrovi kompleksi klorofila (e141(ii)+e100), aktivno oglje), barvni dodatek (izvleček modre spiruline), aroma.|50g|390,00|0,00 g|0,00 g|97,00 g|92,00 g|0,0 g|0,00 g|0,00 g
Lizika - trd nepolnjen sladkorni izdelek s sadnim okusom|sladkor, glukozni sirup, glukozno-fruktozni sirup, citronska kislina (e330), barvila za živila (kurkumin in/ali karmini in/ali karoteni in/ali bakrovi kompleksi klorofila: e141(ii) in/ali titanov dioksid), in/ali barvni dodatek (izvleček modre spiruline), aroma.|16g|390,00|0,00 g|0,00 g|97,00 g|92,00 g|0,0 g|0,00 g|0,00 g
Lizika - trd nepolnjen sladkorni izdelek s sadnim okusom|sladkor, glukozni sirup, glukozno-fruktozni sirup, citronska kislina (e330), barvila za živila (kurkumin in/ali karmini in/ali karoteni in/ali bakrovi kompleksi klorofila: e141(ii) in/ali titanov dioksid), in/ali barvni dodatek (izvleček modre spiruline), aroma (malina).|30g|390,00|0,00 g|0,00 g|97,00 g|92,00 g|0,0 g|0,00 g|0,00 g
PENASTI BONBONI|sladkor, glukozni in fruktozni sirup (koruza), voda, koruzni škrob, želatina, dodatki za barvanje živil (redkvica, črni ribez, žafranika, limona), citronska kislina (e330), arome, barvilo za živila (e131).|60g|325,00|0,70 g|0,07 g|76,30 g|53,80 g|0,10 g|3,48 g|0,18 g
Riž Jasmin, brušen dolgozrnati beli riž|beli dolgozrnati riž 100,00 %.|500g|354,00|0,40 g|0,10 g|80,40 g|1,20 g|1,00 g|6,70 g|0,10 g
DESERT MONTE ZOTT-30% sladkorja 4x55g. Mlečni desert s čokolado in lešniki.|POLNOMASTNO MLEKO, SMETANA, sladkor, modificirani škrob, manj masten kakav v prahu, LEŠNIKOVA PASTA, čokolada v prahu, škrob, sredstva za zgostitev: karagenan, gumi iz zrn rožicevca, kalcijevi citrati, arome, vsebuje vsaj 30 % manj sladkorja kot primerljivi mlečni deserti s čokolado.|220g|165,00|12,20 g|8,10 g|10,70 g|8,70 g|0,0 g|3,00 g|0,11 g
VAFELJ NAPOLITANKE POLNJENE Z MLEČNO (50%) IN KAKAVOVO (26%) KREMO|sladkor, PŠENIČNA MOKA, palmovo olje, MLEKO V PRAHU (14% V MLEČNI KREMI), SIROTKA V PRAHU, manjmasten kakav v prahu (5% v kakavovi kremi), EMULGATOR: SOJINI LECITINI, sredstvi za vzhajanje: natrijevi karobnati, difosfati, jodirana sol, aroma: vanilin.|800g|520,00|27,00 g|14,00 g|62,00 g|45,00 g|0,0 g|7,00 g|0,50 g
KNORR JUHA NARAVNE SEST. KOKOŠJA 41 G|TESTENINE (ZDROB DURUM PŠENICE) 44,00 %, krompirjev škrob, kokošje meso v prahu 12,00 %, morska sol, čebula 7,30 %, korenje 3,20 %, por 2,40 %, krompir, ZELENA, korenčkov sok v prahu, kokošja maščoba, leča, čebulni sok v prahu, koruzno olje, sladkor, korenina luštreka, peteršilj, česen, muškatni orešček, poper, SEMENA ZELENA, semena triplata, gobov sok v prahu, kurkuma, lovorjev list, ingver, antioksidant (izvlečki rožmarina), žajbelj, klinčki, rožmarin.|41g|29,00|0,50 g|0,10 g|4,80 g|0,60 g|0,50 g|1,30 g|0,70 g
KOKOŠJA JUHA Z REZANCI KNORR|TESTENINE (ZDROB DURUM PŠENICE, jedilna sol), glukozni sirup, jedilna sol, krompirjev škrob, sladkor, izvleček kvasa, aroma, palmina maščoba, korenje 1,80 %, kokošja maščoba 1,10 %, začimbe (kurkuma, poper), čebula v prahu, listi peteršilja 0,3%, kokošje meso 0,3%, por, korenina peteršilja, antioksidant (izvlečki rožmarina).|12g|23,00|0,50 g|0,10 g|4,40 g|0,80 g|0,0 g|0,60 g|0,95 g
KREMNI LEŠNIKOV NAMAZ, BREZ LAKTOZE S KAKAVOM IN RIŽEM - BREZ GLUTENA|sladkor, sončnično olje, kakavovo maslo, LEŠNIKI (13 %), manjmasten kakavov prah (7,5 %), rižev sirup (5 %), riževi otrobi (5 %), lecitini (sončnični), arome. brez glutena ( < 20 ppm).|400g|525,00|28,60 g|4,80 g|60,90 g|53,90 g|3,90 g|4,10 g|0,01 g
LEDENI ČAJ YIPPY Z OKUSOM GOZ.SADEŽI|¨sestavine: brezkofeinski črni čaj s šipkom (voda, izvleček brezkofeinskega črnega čaja, izvleček šipka), sladkor, 3% mešani sadni sok iz zgoščenih sokov (malina, robida, jagoda), kislina: citronska kislina.|0,33l|26,00|0,50 g|0,10 g|6,00 g|5,90 g|0,0 g|0,50 g|0,01 g
LEDENI ČAJ Z OKUSOM BRESKVE|sestavine: poparek belega čaja in listov sladke robidnice (voda, beli čaj, listi sladke robidnice (rubus suavissimus s. lee)), 25% sadni sok delno iz zgoščenega soka (grozdni sok iz zgoščenega soka, 5% sok pasijonke, 2% breskov sok, limonin sok iz zgoščenega soka). izvleček čaja: min. 1,2 g/l.|0,33l|26,00|0,50 g|0,10 g|6,00 g|5,90 g|0,0 g|0,50 g|0,01 g
Kosmiči za zajtrk (ekstrudirani žitni izdelek)|moka (koruzna, POLNOZRNATA OVSENA, PŠENIČNA), sladkor, sol, prehranska barvila (redkev, črni ribez, jabolko, korenje, hibiskus, kurkuma), kokosovo olje, arome.|150g|385,00|2,90 g|0,70 g|79,00 g|25,00 g|4,20 g|9,40 g|0,86 g
ŽVEČLJIVE SADNE KARAMELE|sladkor, glukozni sirup, sadni sok iz zgoščenega sadnega soka (jagoda, višnja, limona, ananas, jabolko, malina) 10,00 %, rastlinska maščoba palmina, voda, želatina, citronska kislina, mlečna kislina, arome, emulgator sončnični lecitin.|175g|398,00|6,50 g|3,80 g|83,00 g|60,00 g|0,0 g|1,20 g|0,00 g
Rjavi trsni sladkor v kockah|sladkor 100,00 %.|500g|1700,00|0,00 g|0,00 g|100,00 g|100,00 g|0,0 g|0,00 g|0,00 g
GUMIJASTI BONBONI Z OKUSOM SADJA|glukozni sirup, sladkor, želatina, dekstroza, kislina: citronska kislina, sirotka v prahu, sadni in zelenjavni koncentrati: bezgove jagode,aronija, grozdje, črni ribez, pomaranča, limona, pasijonka, mango, jabolko, kivi, alga spirulina, žafranika, arome, glazirna sredstva: rumeni in beli čebelji voek, karnauba vosek, koncentrat sadnega soka: jabolk, malin, pomaranč, limon, karameliziran sladkorni sirup, ekstrakt bezgovih jagod, vlažilec: sorbitol sirup, želatina.|100g|334,00|0,50 g|0,10 g|76,00 g|48,00 g|0,0 g|6,20 g|0,08 g
Kislo čvrsto mleko iz nehomogeniziranega in pasteriziranega mleka s 3,2 % m.m.|BIO MLEKO 100,00 %.|200g|60,00|3,20 g|2,00 g|4,60 g|4,60 g|0,0 g|3,20 g|0,10 g
EKSTRA DEVIŠKO OLJČNO OLJE MEDITERRA|oljčno olje 100,00 %.|0,5l|900,00|100,00 g|13,70 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
MLADI KAJMAK, PRESIDENT, 250G|PASTERIZIRANA SMETANA, MLEČNE BELJAKOVINE, SIROTKINE BELJAKOVINE, jedilna sol.|250g|481,00|50,00 g|32,00 g|3,20 g|3,20 g|0,0 g|4,60 g|0,80 g
BIO POLTRDI SIR iz pasteriziranega kravjega, kozjega in ovčjega mleka z meto, najmanj 43% maščobe v suhi snovi, iz ekološke pridelave|KRAVJE MLEKO*, KOZJE MLEKO*, OVČJE MLEKO*, nejodirana morska sol, sušena meta*, mikrobiološko sirilo, *iz ekološke pridelave.|200g|312,00|24,00 g|17,00 g|2,00 g|1,00 g|0,0 g|22,00 g|2,60 g
Domači mlinci 250 g|PŠENIČNA BELA MOKA TIP 500 100,00 %, voda, JAJCA V PRAHU, jedilna sol, kvas.|0,25g|356,00|1,80 g|0,50 g|71,00 g|2,50 g|3,10 g|13,00 g|1,70 g
BIO Jabolka-banane-maline s polnovrednimi žiti 100g|sadje* 95% (jabolka* 43%, jabolčni sok* z manj kislin iz koncentrata, banane* 10%, maline* 5%, sok aronije* iz koncentrata), POLNOVREDNA PIRINA MOKA* 4%, PŠENIČNI KOSMIČI* 1%, antioksidant: askorbinska kislina, ekološke pridelave*.|100g|65,00|0,20 g|0,00 g|14,20 g|10,30 g|0,0 g|0,90 g|0,05 g
ŽITNA KAŠICA IZ VEČ VRST ŽIT 200g|80% POLNOVREDNA MOKA* (OVES*, PŠENICA*, JEČMEN*, PIRA*,RŽ*), 20% PŠENIČNI ZDROB*, vitamin b1, *iz ekološke pridelave.|200g|381,00|3,90 g|0,60 g|69,70 g|1,80 g|9,20 g|12,10 g|0,05 g
GOVEJI GOLAŽ, STERILIZIRAN|goveje meso 45 %, voda, čebula, začimbe, nejodirana sol, sončnično olje, modificiran škrob, PŠENIČNA MOKA, dvojni paradižnikov koncentrat, GORČICA (GORČIČNA SEMENA, voda, alkoholni kis, sladkor, nejodirana sol, sirup karameliziranega sladkorja, začimbe), česen, barvilo: izvleček paprike.|400g|107,00|5,70 g|1,60 g|4,10 g|0,40 g|0,90 g|9,40 g|1,10 g
BIO VIŠNJE BREZ KOŠČIC V KOMPOTU. Iz ekološke pridelave (Kmetijstvo EU/Izven EU, HU-ÖKO-01).|višnje*, voda, trsni sladkor*, *iz ekološke pridelave.|350g|60,00|0,10 g|0,10 g|14,00 g|13,00 g|0,50 g|0,70 g|0,03 g
Alkoholni kis 12 % kislosti|alkoholni kis 100,00 %.|1l|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
TAPIOKIN PUDING S KOŠČKI MLADEGA KOKOSA|tapiokini biseri (tapiokina moka, voda, trsni sladkor), kokosovo mleko, koščki mladega kokosa.|230g|103,00|4,80 g|4,30 g|14,00 g|7,40 g|0,50 g|0,70 g|0,10 g
TAPIOKIN PUDING S SLADKO KORUZO|tapiokini biseri (tapiokina moka, voda), kokosovo mleko, sladka koruza.|230g|89,00|4,10 g|3,70 g|12,10 g|8,60 g|0,40 g|0,70 g|0,10 g
OMAKA HOI SIN|sladkor, SOJINA PASTA (SOJA, PŠENIČNA MOKA, voda), voda, SOJINA OMAKA, SOJA, voda, sol, pšenična moka), kis, škrob, česen, karamela, čili, začimbe, BELI SEZAM, natrijev aksorbat, kalijev sorbat.|260g|121,00|0,00 g|0,00 g|50,30 g|42,00 g|0,0 g|2,20 g|6,30 g
Gazirana brezalkoholna pijača z okusom višnje z nizko energijsko vrednostjo, brez dodanega sladkorja, s sladili. Vsebuje naravno prisotne sladkorje.|voda, višnjev sok 10,00 %, ogljikov dioksid, sredstvo za uravnavanje kislosti: citronska kislina, konzervansi: kalijev sorbat in natrijev benzoat, sladila: steviol glikozidi in sukraloza, arome, arvilo: antocianini (iz črnega korenja).|0,33l|5,00|0,00 g|0,00 g|1,00 g|1,00 g|0,0 g|0,00 g|0,03 g
ANANASOV KOMPOT KOŠČKI, TROPICAL GOLD, DOLE, 567G|ananas, anansov sok.|567g|265,00|0,10 g|0,10 g|15,00 g|12,00 g|1,00 g|0,40 g|0,10 g
KOMPOT ANANAS KOLUTI, DOLE, 567G|ananas, ananasov sok.|567g|70,00|0,00 g|0,00 g|16,00 g|12,00 g|1,20 g|0,50 g|0,00 g
KOMPOT SADNI TROPICAL, DOLE, 432G|ananas, rdeča ali rumena papaja, guava, ananasov sok, voda, koncentrat pasijonke, sredstvio za uravnavanje kislosti citronska kislina.|432g|56,00|0,20 g|0,10 g|13,00 g|11,00 g|1,30 g|0,60 g|0,10 g
BIO ENOLONČNICA S STROČNICAMI, OVSOM IN PARADIŽNIKOM.|kuhane stročnice v spremenljivem deležu 42% (voda, posušene stročnice: čičerika brez glutena *, rdeči fižol azuki *, canellini fižol *, zeleni grah *), voda, paradižnikova kaša * 15% (paradižnik * paradižnikov sok *), zelenjava v spremenljivem deležu (čebula*, korenje*, ZELENA*, česen*), sončnično olje*, KUHANI OVES 4,6% (POLNOZRNATI OVES*, voda), morska sol, ekstrakt rožmarina*, začimbe in aromatične rastline*.|270g|119,00|4,80 g|0,60 g|12,00 g|2,10 g|3,80 g|5,00 g|0,98 g
SIR GAUDA V REZINAH SPAR, 250G|PASTERIZIRANO MLEKO 98,30 %, nejodirana sol 1,70 %, starter kulture 15,00 %, mikrobiološko sirilo.|250g|370,00|30,00 g|20,00 g|0,10 g|0,10 g|0,0 g|25,00 g|1,70 g
SIR CHEDDAR V REZINAH, SPAR, 250G|PASTERIZIRANO MLEKO 98,30 %, nejodirana sol 1,70 %, starter kulture 15,00 %, mikrobiološko sirilo 15,00 %, barvili, karoten, anato.|250g|390,00|32,00 g|21,00 g|0,10 g|0,10 g|0,0 g|26,00 g|1,70 g
SIR MOZZARELLA V REZINAH, SPAR, 250G|PASTERIZIRANO MLEKO 98,60 %, nejodirana sol 1,40 %, starter kulture 20,00 %, mikrobiološko sirilo.|250g|302,00|22,00 g|14,00 g|1,00 g|1,00 g|0,0 g|25,00 g|1,40 g
SIR TILSITER V REZINAH, SPAR, 250G|PASTERIZIRANO MLEKO 98,60 %, nejodirana sol 1,40 %, starter kulture, mikrobiološko sirilo 13,00 %.|250g|330,00|26,00 g|16,00 g|0,10 g|0,10 g|0,0 g|24,00 g|1,70 g
TEMNA ČOKOLADA 84% BREZ DODANEGA SLADKORJA S STEVIO, KANDIT|kakavova masa 80,00 %, prehranske vlaknine 13,00 %, kakavovo maslo, sladilo 0,30 %, manj masten kakav v prahu, EMULGATOR: SOJIN LECITIN, naravna aroma vanilije, barvilo (karoteni).|80g|1938,00|37,80 g|22,60 g|17,10 g|2,40 g|0,0 g|6,10 g|0,02 g
POLNOZRNATI OVSENI PIŠKOT DELNO OBLIT S TEMNO ČOKOLADO|OVSENI KOSMIČI (30%), čokolada (25%) (kakavova masa, sladkor, kakavovo maslo, emulgator: lecitini; naravna aroma vanilje),sladkor, rastlinski maščobi (palmina, kakavovo maslo), manj masten kakav v prahu (2%), sredstvo za vzhajanje: natrijev karbonat; invertni sladkorni sirup, sol, sirup iz sladkorne pese, naravna aroma vanilje.|200g|499,00|25,40 g|12,20 g|56,80 g|26,10 g|6,90 g|7,40 g|0,71 g
IZBOR PEKOVSKEGA PECIVA S 17% ČOKOLADE, 10% MLEČNE ČOKOLADE IN 6% BELE ČOKOLADE|PŠENIČNA MOKA, rastlinski maščobi (palmina, kokosova), kakavova masa, sladkor v prahu, PREČIŠČENO MASLO, POLNO MLEKO V PRAHU, SLADKA SIROTKA V PRAHU, POSNETO MLEKO V PRAHU, PŠENIČNI ŠKROB, manj masten kakav v prahu, BELJAK, invertni sladkorni sirup, dekstroza, LAKTOZA, sol, sredstva za vzhajanje: natrijev karbonat, dinatrijev difosfat, amonijev karbonat; naravne arome, JAJCE V PRAHU, repično olje, MLEČNE BELJAKOVINE; BELJAK V PRAHU, RUMENJAK, karamelni sladkorni sirup, začimbe, IZVLEČEK JEČMENOVEGA SLADA, izvleček vanilje, barvilo: beta karoten.|500g|515,00|27,20 g|15,50 g|59,20 g|34,90 g|4,70 g|5,90 g|0,42 g
Corn flakes brez dodanega sladkorja. Hrustljavi koruzni osmiči.|koruzni zdrob 96,00 %, jedilna sol, SLADNI EKSTRAKT (IZ JEČMENA).|500g|372,00|1,60 g|0,10 g|77,80 g|1,50 g|3,80 g|9,70 g|1,99 g
KAVA V KAPSULAH CLASSICO, KOMPATIBILNE, ILLY, 10/1, 57G|kava arabica 100,00 %.|57g|11,00|0,20 g|0,10 g|1,40 g|0,00 g|0,60 g|0,70 g|0,00 g
KAVA V KAPSULAH FORTE KOMPATIBILNE, ILLY, 57G|kava arabica 100,00 %.|57g|11,00|0,20 g|0,10 g|1,40 g|0,00 g|0,60 g|0,70 g|0,00 g
KAVA V KAPSULAH CLASSICO LUNGO KOMPATIBILNE, ILLY, 57G|kava arabica 100,00 %.|57g|11,00|0,20 g|0,10 g|1,40 g|0,00 g|0,60 g|0,70 g|0,00 g
AROMATIZIRANI ČRNI ČAJ V FILTER VREČKAH Z OKUSOM GOZDNIH SADEŽEV.|črni čaj, arome, brusnica 0,50 %, borovnica 0,50 %, robida 0,50 %.|34g|0,00|0,00 g|0,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
SMETANOV SIR S PLESNIJO CAMEMBERT, 65% maščobe v suhi snovi, iz pasteriziranega mleka|SMETANOV SIR S PLESNIJO CAMEMBERT, 65 % MAŠČOBE V SUHI SNOVI, IZ PASTERIZIRANEGA MLEKA.|250g|393,00|37,00 g|24,00 g|0,00 g|0,00 g|0,0 g|15,00 g|1,60 g
Bela čokolada z mlečno kremo z okusom vanilije (40%) in koščki kakavovega keksa (12%).|sladkor, palmino olje, kakavovo maslo, SIROTKA VPRAHU (IZ MLEKA), POSNETO MLEKO V PRAHU, PŠENIČNA MOKA, MLEČNA MAŠČOBA, manj masten kakavov prah 0,70 %, glukozni-fruktozni sirup, SOJINI LECITINI, PŠENIČNI ŠKROB, E501, E503, E500, jedilna sol, arome, E524.|100g|562,00|34,00 g|19,00 g|59,00 g|53,00 g|0,50 g|4,40 g|0,38 g
Krompirjev čips - soljen|krompir, sončnično olje, morska sol.|125g|528,00|34,00 g|3,20 g|47,00 g|0,60 g|4,50 g|5,60 g|1,70 g
Krompirjev čips - z okusom paprike|krompir, sončnično olje, paprika v prahu, sol, sladkor, naravna aroma, izvleček kvasa, čebula v prahu, česen v prahu, barvilo (izvleček paprike), kislina (citronska kislina).|125g|514,00|31,00 g|3,00 g|49,00 g|2,70 g|4,80 g|6,10 g|1,40 g
krompirjev čips - z okusom kisle smetane in čebule|krompir, sončnično olje, sol, KISLA SMETANA V PRAHU, čebula v prahu, sladkor, aroma, izvleček kvasa, SLADKA SIROTKA V PRAHU, POSNETO MLEKO V PRAHU, peteršilj, česen v prahu, kislina (mlečna kislina), začimbe, začimbni ekstrakt.|125g|525,00|33,00 g|3,30 g|48,00 g|2,50 g|4,50 g|6,00 g|1,30 g
CVETLIČNI MED, kremni|cvetlični kremni med.|1kg|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Sončnično seme|sončnično seme.|300g|593,00|49,00 g|5,70 g|12,00 g|0,50 g|6,30 g|22,00 g|0,01 g
